report_date,noncomm_long,noncomm_short,net_long,open_interest
2009-10-27,37835,28780,9055,138675
2009-11-03,38506,29440,9066,140919
2009-11-09,38649,31087,7562,143949
2009-11-17,44596,35345,9251,151727
2009-11-24,46078,35044,11034,152192
2009-12-01,46459,35192,11267,149082
2009-12-08,48128,35502,12626,148178
2009-12-15,45671,35345,10326,148040
2009-12-22,43330,34915,8415,145962
2009-12-29,50473,36195,14278,154965
2010-01-05,51738,35483,16255,158978
2010-01-12,51974,29642,22332,151749
2010-01-19,50762,23310,27452,143442
2010-01-26,48727,20192,28535,141166
2010-02-02,40449,22389,18060,132725
2010-02-09,35948,22503,13445,124743
2010-02-16,37712,23903,13809,127108
2010-02-23,38994,23337,15657,126956
2010-03-02,38871,23384,15487,126581
2010-03-09,41855,23946,17909,128403
2010-03-16,42229,23548,18681,130889
2010-03-23,42577,24827,17750,133210
2010-03-30,47196,25961,21235,142431
2010-04-06,50453,28002,22451,152534
2010-04-13,53348,30396,22952,151539
2010-04-20,50347,29864,20483,155077
2010-04-27,47951,28204,19747,152101
2010-05-04,42611,29152,13459,142960
2010-05-11,36129,25571,10558,131953
2010-05-18,35202,27969,7233,129554
2010-05-25,32590,28608,3982,129467
2010-06-01,32767,27435,5332,127748
2010-06-08,34337,32963,1374,132631
2010-06-15,33306,31751,1555,138123
2010-06-22,33352,31804,1548,140758
2010-06-29,32073,29147,2926,131028
2010-07-06,31715,29469,2246,128518
2010-07-13,31862,27557,4305,130480
2010-07-20,32601,28767,3834,133129
2010-07-27,35846,24744,11102,136381
2010-08-03,37994,25207,12787,142405
2010-08-10,40270,23698,16572,140232
2010-08-17,41142,26766,14376,141552
2010-08-24,36304,26921,9383,140303
2010-08-31,39392,26162,13230,134538
2010-09-07,41740,26992,14748,137503
2010-09-14,42109,25749,16360,141449
2010-09-21,43852,26803,17049,143340
2010-09-28,48382,26222,22160,148132
2010-10-05,51582,27185,24397,153959
2010-10-12,52744,28727,24017,159480
2010-10-19,54241,28155,26086,163453
2010-10-26,55193,28797,26396,167711
2010-11-02,52515,27376,25139,163851
2010-11-09,55507,25476,30031,164821
2010-11-16,49914,24031,25883,152903
2010-11-23,46097,23307,22790,146185
2010-11-30,47784,26676,21108,148391
2010-12-07,53567,27134,26433,157851
2010-12-14,58287,28019,30268,163783
2010-12-21,59804,27641,32163,166686
2010-12-28,61837,30035,31802,167555
2011-01-04,61858,30245,31613,166551
2011-01-11,61528,31423,30105,165801
2011-01-18,62505,32316,30189,166217
2011-01-25,53961,30049,23912,156145
2011-02-01,57306,32595,24711,160639
2011-02-08,63087,33627,29460,162680
2011-02-15,59706,30667,29039,159897
2011-02-22,53809,30579,23230,152274
2011-03-01,50320,23701,26619,147682
2011-03-08,49103,24793,24310,141912
2011-03-15,46193,22831,23362,134871
2011-03-22,44489,22667,21822,133844
2011-03-29,47672,20628,27044,135993
2011-04-05,46268,23884,22384,134397
2011-04-12,52973,21983,30990,142201
2011-04-19,43667,18608,25059,132501
2011-04-26,42076,18394,23682,130893
2011-05-03,40403,19399,21004,125944
2011-05-10,34445,22626,11819,120373
2011-05-17,29693,21948,7745,119862
2011-05-24,28382,22354,6028,120986
2011-05-31,29163,19183,9980,124047
2011-06-07,30044,20316,9728,123120
2011-06-14,31122,20388,10734,132735
2011-06-21,30500,20722,9778,133963
2011-06-28,29594,19591,10003,124292
2011-07-05,40534,21571,18963,138705
2011-07-12,48272,24486,23786,146942
2011-07-19,49556,25807,23749,152968
2011-07-26,51606,27015,24591,156227
2011-08-02,51036,26770,24266,156183
2011-08-09,34371,23516,10855,128676
2011-08-16,27563,21674,5889,125890
2011-08-23,28138,24290,3848,126582
2011-08-30,28751,26036,2715,115961
2011-09-06,30684,27166,3518,116034
2011-09-13,30701,28872,1829,118567
2011-09-20,31654,34874,-3220,125803
2011-09-27,29860,31283,-1423,120063
2011-10-04,28041,31422,-3381,121708
2011-10-11,27971,34987,-7016,123079
2011-10-18,28110,33399,-5289,129217
2011-10-25,28375,31263,-2888,130102
2011-11-01,28641,26816,1825,126523
2011-11-08,26697,26347,350,123732
2011-11-15,27002,28071,-1069,130170
2011-11-22,26079,30294,-4215,124242
2011-11-29,26436,29733,-3297,112431
2011-12-06,26730,29383,-2653,113383
2011-12-13,27051,30427,-3376,116107
2011-12-20,28345,33315,-4970,116162
2011-12-27,28675,32283,-3608,117257
2012-01-03,29629,31208,-1579,120924
2012-01-10,31413,33152,-1739,126766
2012-01-17,34047,31824,2223,132695
2012-01-24,36031,31546,4485,143015
2012-01-31,37565,33482,4083,152058
2012-02-07,40465,33536,6929,160326
2012-02-14,42178,32503,9675,164761
2012-02-21,43064,33634,9430,162787
2012-02-28,43780,33313,10467,153520
2012-03-06,44695,33128,11567,152925
2012-03-13,43305,34276,9029,151180
2012-03-20,48730,36560,12170,154590
2012-03-27,44252,36296,7956,152242
2012-04-03,48048,38649,9399,156785
2012-04-10,41268,40893,375,148631
2012-04-17,40984,39755,1229,159263
2012-04-24,38687,36338,2349,159368
2012-05-01,41404,37497,3907,144300
2012-05-08,42919,39388,3531,144652
