report_date,noncomm_long,noncomm_short,net_long,open_interest
2011-05-17,234858,39878,194980,772908
2011-05-24,255455,41940,213515,831374
2011-05-31,261494,38510,222984,715858
2011-06-07,265739,34446,231293,730025
2011-06-14,256751,34899,221852,718929
2011-06-21,278066,39278,238788,750516
2011-06-28,232841,38284,194557,703831
2011-07-05,227245,40122,187123,702311
2011-07-12,282404,46211,236193,775360
2011-07-19,302828,39765,263063,854141
2011-07-26,300143,30654,269489,791632
2011-08-02,319752,30502,289250,817915
2011-08-09,290342,31159,259183,906419
2011-08-16,289390,31476,257914,952078
2011-08-23,279511,31542,247969,1034978
2011-08-30,257750,25112,232638,955019
2011-09-06,267098,25594,241504,1007750
2011-09-13,253812,29084,224728,986214
2011-09-20,230207,27175,203032,965320
2011-09-27,195497,36743,158754,824865
2011-10-04,194030,31716,162314,804393
2011-10-11,194306,26284,168022,806727
2011-10-18,186757,26772,159985,794999
2011-10-25,197135,28792,168343,809584
2011-11-01,200577,22521,178056,785989
2011-11-08,223053,22073,200980,845013
2011-11-15,227366,23568,203798,838080
2011-11-22,204899,26099,178800,678699
2011-11-29,198377,24049,174328,646836
2011-12-06,206383,23916,182467,655854
2011-12-13,190428,27259,163169,654915
2011-12-20,174674,33770,140904,666530
2011-12-27,168897,32990,135907,624191
2012-01-03,170814,35028,135786,642722
2012-01-10,170332,30897,139435,644348
2012-01-17,174103,28095,146008,667548
2012-01-24,182191,27164,155027,663855
2012-01-31,211698,23511,188187,660852
2012-02-07,223344,27653,195691,688505
2012-02-14,214239,30438,183801,672325
2012-02-21,233110,31473,201637,714931
2012-02-28,253817,32275,221542,737521
2012-03-06,201331,29307,172024,676087
2012-03-13,196610,33334,163276,683178
2012-03-20,175472,37313,138159,675513
2012-03-27,190984,30933,160051,626687
2012-04-03,180702,31103,149599,623172
2012-04-10,174847,31148,143699,640791
2012-04-17,171313,24480,146833,640395
2012-04-24,168295,28846,139449,641899
2012-05-01,175731,28356,147375,648716
2012-05-08,165288,44309,120979,667617
2012-05-15,156510,52686,103824,699370
2012-05-22,163036,56040,106996,728017
2012-05-29,162787,61321,101466,674096
2012-06-05,186411,56988,129423,704117
2012-06-12,183769,50847,132922,695294
2012-06-19,185237,47226,138011,701862
2012-06-26,171718,55962,115756,656194
2012-07-03,185507,48271,137236,670160
2012-07-10,175523,56742,118781,673276
2012-07-17,171869,50935,120934,681387
2012-07-24,154334,51542,102792,674786
2012-07-31,174273,45437,128836,644298
2012-08-07,166060,47049,119011,622617
2012-08-14,165450,47227,118223,619661
2012-08-21,180441,40315,140126,647383
2012-08-28,203355,36236,167119,670216
2012-09-04,217032,32308,184724,709605
2012-09-11,231870,27947,203923,764181
2012-09-18,248668,27401,221267,808829
2012-09-25,257088,22475,234613,759250
2012-10-02,264379,24439,239940,759596
2012-10-09,269711,25416,244295,759329
2012-10-16,252479,26386,226093,731636
2012-10-23,231402,26666,204736,718402
2012-10-30,220648,27254,193394,689762
2012-11-06,209909,26224,183685,700259
2012-11-13,221820,26817,195003,718200
2012-11-20,229435,27108,202327,725595
2012-11-27,241888,23497,218391,649280
2012-12-04,204506,32204,172302,610268
2012-12-11,206748,30701,176047,625088
2012-12-18,199724,40216,159508,633191
2012-12-24,192668,43521,149147,630843
2012-12-31,198885,45219,153666,595223
2013-01-08,190528,46875,143653,615254
2013-01-15,192796,41578,151218,638659
2013-01-22,195719,36537,159182,659275
2013-01-29,183190,52121,131069,598100
2013-02-05,196813,52318,144495,610796
2013-02-12,196438,67857,128581,628752
2013-02-19,189328,90948,98380,666103
2013-02-26,196956,83318,113638,642459
2013-03-05,182688,87676,95012,666993
2013-03-12,189128,86834,102294,681973
2013-03-19,198922,70926,127996,703073
2013-03-26,194730,66998,127732,633658
2013-04-02,193389,82930,110459,647002
2013-04-09,195821,83270,112551,653859
2013-04-16,184696,78619,106077,808120
2013-04-23,174596,90905,83691,824660
2013-04-30,171901,86011,85890,749677
2013-05-07,168566,89695,78871,780761
2013-05-14,163282,94340,68942,807394
2013-05-21,161137,99204,61933,847211
2013-05-28,168520,113317,55203,691958
2013-06-04,168309,103455,64854,659936
2013-06-11,170550,110323,60227,677874
2013-06-18,162529,119185,43344,689311
2013-06-25,158161,125292,32869,694750
2013-07-02,160905,129616,31289,776879
2013-07-09,163861,136016,27845,808703
2013-07-16,162437,121305,41132,823667
2013-07-23,170353,112575,57778,830568
2013-07-30,167118,115255,51863,723932
2013-08-06,164632,91737,72895,738021
2013-08-13,161748,79465,82283,731908
2013-08-20,174592,71695,102897,747070
2013-08-27,180516,54299,126217,723116
2013-09-03,180877,53214,127663,739479
2013-09-10,162857,52192,110665,721444
2013-09-17,154668,60839,93829,738604
2013-09-24,155399,55450,99949,729363
2013-10-01,154713,57211,97502,689447
2013-10-08,154595,44554,110041,687618
2013-10-15,151803,67691,84112,715953
2013-10-22,163418,54968,108450,715600
2013-10-29,167538,38962,128576,695510
2013-11-05,161418,45159,116259,695794
2013-11-12,157152,72449,84703,724276
2013-11-19,154682,82842,71840,724803
2013-11-26,151118,98891,52227,636307
2013-12-03,151150,102614,48536,641036
2013-12-10,152770,95868,56902,629838
2013-12-17,152056,97530,54526,656536
2013-12-24,151256,96669,54587,667491
2013-12-31,152452,94136,58316,628586
2014-01-07,156270,89792,66478,630115
2014-01-14,162705,91741,70964,664721
2014-01-21,162253,89976,72277,663764
2014-01-28,167696,77419,90277,608056
2014-02-04,165286,76912,88374,602247
2014-02-11,177365,78375,98990,617237
2014-02-18,190511,70826,119685,657075
2014-02-25,193673,52359,141314,637838
2014-03-04,193754,46415,147339,656664
2014-03-11,193209,40942,152267,684249
2014-03-18,202885,30681,172204,711980
2014-03-25,184632,39101,145531,675535
2014-04-01,174189,47068,127121,607938
2014-04-08,168495,47610,120885,614585
2014-04-15,165879,52321,113558,628029
2014-04-22,162997,52339,110658,632178
2014-04-29,165365,53270,112095,621734
2014-05-06,181195,54048,127147,651381
2014-05-13,176007,56930,119077,641801
2014-05-20,172356,55274,117082,637142
2014-05-27,172072,79362,92710,610131
2014-06-03,170545,93650,76895,604437
2014-06-10,170102,94129,75973,598946
2014-06-17,173620,78966,94654,601503
2014-06-24,203131,56892,146239,639293
2014-07-01,218090,49785,168305,632177
2014-07-08,218022,47931,170091,638504
2014-07-15,212149,51976,160173,639522
2014-07-22,212653,45957,166696,643364
2014-07-29,203355,48582,154773,575402
2014-08-05,188772,54898,133874,563036
2014-08-12,209214,43254,165960,581490
2014-08-19,197830,45013,152817,574443
2014-08-26,184158,58526,125632,552454
2014-09-02,181250,75426,105824,568103
2014-09-09,185347,83063,102284,600722
2014-09-16,177225,94564,82661,625164
2014-09-23,174503,103747,70756,644637
2014-09-30,172206,105123,67083,610095
2014-10-07,172662,105694,66968,619593
2014-10-14,191574,104214,87360,641301
2014-10-21,204257,92978,111279,669147
2014-10-28,196373,91852,104521,641605
2014-11-04,174202,112963,61239,691425
2014-11-11,172113,117357,54756,735438
2014-11-18,184157,99280,84877,755453
2014-11-25,180186,88707,91479,595199
2014-12-02,184614,79863,104751,578664
2014-12-09,203156,67572,135584,598203
2014-12-16,196636,60261,136375,595431
2014-12-23,191976,66778,125198,570538
2014-12-30,195001,63858,131143,569339
2015-01-06,200644,62280,138364,597165
2015-01-13,207989,59438,148551,607853
2015-01-20,248222,59521,188701,700698
2015-01-27,262284,51047,211237,656429
2015-02-03,248259,45162,203097,639243
2015-02-10,219168,46183,172985,609302
2015-02-17,204772,58181,146591,602502
2015-02-24,199755,60890,138865,592890
2015-03-03,195193,66681,128512,598983
2015-03-10,187299,90070,97229,630766
2015-03-17,178442,108642,69800,667988
2015-03-24,184532,110275,74257,667089
2015-03-31,180115,91489,88626,572616
2015-04-07,191667,80720,110947,579573
2015-04-14,193390,84642,108748,586197
2015-04-21,194116,81862,112254,592646
2015-04-28,197331,87428,109903,592531
2015-05-05,177256,98175,79081,598100
2015-05-12,182713,99980,82733,601344
2015-05-19,208057,77807,130250,628414
2015-05-26,196803,85674,111129,567268
2015-06-02,199625,87987,111638,559404
2015-06-09,189785,110403,79382,572475
2015-06-16,195521,113908,81613,587957
2015-06-23,207208,108452,98756,602869
2015-06-30,196075,126302,69773,607373
2015-07-07,192522,141912,50610,624457
2015-07-14,189648,140664,48984,636436
2015-07-21,183702,160134,23568,688184
2015-07-28,180959,157081,23878,630687
2015-08-04,181234,153587,27647,635992
2015-08-11,185017,152714,32303,634115
2015-08-18,185116,140043,45073,636582
2015-08-25,193405,116687,76718,661565
2015-09-01,185395,107622,77773,608673
2015-09-08,181817,122008,59809,616676
2015-09-15,168892,132801,36091,609014
2015-09-22,180716,121353,59363,611945
2015-09-29,184378,105632,78746,600090
2015-10-06,193998,101178,92820,625986
2015-10-13,206492,79959,126533,641353
2015-10-20,233132,70332,162800,686201
2015-10-27,225777,63049,162728,652091
2015-11-03,190149,76498,113651,631868
2015-11-10,167232,102456,64776,639510
2015-11-17,165084,136121,28963,656475
2015-11-24,162092,141849,20243,535410
2015-12-01,160479,147438,13041,536215
2015-12-08,164658,140161,24497,542365
2015-12-15,159955,139642,20313,553569
2015-12-22,155933,123749,32184,561090
2015-12-29,152028,128717,23311,539984
2016-01-05,154764,124177,30587,552648
2016-01-12,160944,112697,48247,551508
2016-01-19,159793,112721,47072,567155
2016-01-26,178509,109778,68731,530273
2016-02-02,184321,100456,83865,537133
2016-02-09,219947,94561,125386,643820
2016-02-16,225098,76472,148626,697444
2016-02-23,246402,67423,178979,733879
2016-03-01,248418,64802,183616,701954
2016-03-08,280680,67823,212857,788410
2016-03-15,266517,63095,203422,761637
2016-03-22,279345,63004,216341,782861
2016-03-29,278105,63991,214114,689723
2016-04-05,277700,64352,213348,685591
2016-04-12,306027,63303,242724,743572
2016-04-19,308286,62718,245568,735270
2016-04-26,302990,59647,243343,703778
2016-05-03,356491,56595,299896,816948
2016-05-10,353084,59675,293409,819565
2016-05-17,358956,60305,298651,847879
2016-05-24,303550,69475,234075,776500
2016-05-31,281904,66267,215637,679932
2016-06-07,309440,58763,250677,701199
2016-06-14,366698,60658,306040,794622
2016-06-21,371148,54623,316525,815220
2016-06-28,391712,61929,329783,854547
2016-07-05,414837,67092,347745,946255
2016-07-12,394636,65368,329268,910785
2016-07-19,381682,62894,318788,890097
2016-07-26,361784,56279,305505,798270
2016-08-02,385069,58805,326264,845903
2016-08-09,371220,58499,312721,823554
2016-08-16,367975,55537,312438,837871
2016-08-23,373298,50599,322699,832258
